path	scope	status	note
README.md	root	audited	Verified against package scripts, repo structure, and live code.
AGENTS.md	root	audited	Verified against repo structure, commands, and docs surface.
CLAUDE.md	root	audited	Verified against repo structure, commands, and docs surface.
agents/README.md	agents-root	audited	Authoritative guide for archival agent artifacts; rewritten during this audit.
docs/README.md	docs	audited	Verified against live code, routes, or runtime config.
docs/about-page.md	docs	audited	Verified against live code, routes, or runtime config.
docs/api-reference.md	docs	audited	Verified against live code, routes, or runtime config.
docs/architecture.md	docs	audited	Verified against live code, routes, or runtime config.
docs/blacklist-tracker-timeline.md	docs	audited	Verified against live code, routes, or runtime config.
docs/blacklist-tracker.md	docs	audited	Verified against live code, routes, or runtime config.
docs/bluechip-ratings.md	docs	audited	Verified against live code, routes, or runtime config.
docs/cemetery-and-compare.md	docs	audited	Verified against live code, routes, or runtime config.
docs/classification.md	docs	audited	Verified against live code, routes, or runtime config.
docs/coverage-page.md	docs	audited	Verified against live code, routes, or runtime config.
docs/data-flow-map.md	docs	audited	Verified against live code, routes, or runtime config.
docs/data-pipeline.md	docs	audited	Verified against live code, routes, or runtime config.
docs/depeg-detection.md	docs	audited	Verified against live code, routes, or runtime config.
docs/depeg-dews-timeline.md	docs	audited	Verified against live code, routes, or runtime config.
docs/dependency-map.md	docs	audited	Verified against live code, routes, or runtime config.
docs/deployment-process.md	docs	audited	Verified against live code, routes, or runtime config.
docs/design-context.md	docs	audited	Verified against live code, routes, or runtime config.
docs/design-language.md	docs	audited	Verified against live code, routes, or runtime config.
docs/design-tokens.md	docs	audited	Verified against live code, routes, or runtime config.
docs/dews.md	docs	audited	Verified against live code, routes, or runtime config.
docs/dex-liquidity.md	docs	audited	Verified against live code, routes, or runtime config.
docs/digest-pipeline.md	docs	audited	Verified against live code, routes, or runtime config.
docs/documentation-map-2026-03-05.tsv	docs	audited-reference	Reference artifact retained as non-canonical documentation support material.
docs/feedback-pipeline.md	docs	audited	Verified against live code, routes, or runtime config.
docs/homepage.md	docs	audited	Verified against live code, routes, or runtime config.
docs/liquidity-score-timeline.md	docs	audited	Verified against live code, routes, or runtime config.
docs/live-reserves.md	docs	audited	Verified against live code, routes, or runtime config.
docs/methodology-page.md	docs	audited	Verified against live code, routes, or runtime config.
docs/mint-burn-flows-timeline.md	docs	audited	Verified against live code, routes, or runtime config.
docs/mint-burn-flows.md	docs	audited	Verified against live code, routes, or runtime config.
docs/operator-origin-access.md	docs	audited	Verified against live code, routes, or runtime config.
docs/redemption-backstops.md	docs	audited	Verified against live code, routes, or runtime config.
docs/report-cards-timeline.md	docs	audited	Verified against live code, routes, or runtime config.
docs/report-cards.md	docs	audited	Verified against live code, routes, or runtime config.
docs/scripts.md	docs	audited	Verified against live code, routes, or runtime config.
docs/shadow-stablecoins.md	docs	audited	Verified against live code, routes, or runtime config.
docs/stability-index-timeline.md	docs	audited	Verified against live code, routes, or runtime config.
docs/stability-index.md	docs	audited	Verified against live code, routes, or runtime config.
docs/stablecoin-detail-page.md	docs	audited	Verified against live code, routes, or runtime config.
docs/start-page.md	docs	audited	Verified against live code, routes, or runtime config.
docs/status-dashboard.md	docs	audited	Verified against live code, routes, or runtime config.
docs/supply-snapshot.md	docs	audited	Verified against live code, routes, or runtime config.
docs/telegram-alerts.md	docs	audited	Verified against live code, routes, or runtime config.
docs/testing.md	docs	audited	Verified against live code, routes, or runtime config.
docs/worker-and-api-limits.md	docs	audited	Verified against live code, routes, or runtime config.
docs/worker-infrastructure.md	docs	audited	Verified against live code, routes, or runtime config.
docs/yield-intelligence-timeline.md	docs	audited	Verified against live code, routes, or runtime config.
docs/yield-intelligence.md	docs	audited	Verified against live code, routes, or runtime config.
agents/audits/2026-03-06-full-codebase-audit.md	agents-archive	structural-review	Inventoried as archival working material; not treated as canonical over live code or /docs.
agents/audits/2026-03-07-codebase-quality-audit-summary.md	agents-archive	structural-review	Inventoried as archival working material; not treated as canonical over live code or /docs.
agents/audits/2026-03-07-design-audit-pharos-watch.md	agents-archive	structural-review	Inventoried as archival working material; not treated as canonical over live code or /docs.
agents/audits/2026-03-07-design-implementation-spec.md	agents-archive	structural-review	Inventoried as archival working material; not treated as canonical over live code or /docs.
agents/audits/2026-03-08-doc-corpus-audit.md	agents-archive	structural-review	Inventoried as archival working material; not treated as canonical over live code or /docs.
agents/audits/2026-03-11-doc-corpus-audit.md	agents-archive	structural-review	Inventoried as archival working material; not treated as canonical over live code or /docs.
agents/audits/2026-03-12-doc-corpus-audit.md	agents-archive	structural-review	Inventoried as archival working material; not treated as canonical over live code or /docs.
agents/audits/2026-03-12-live-reserve-sync-audit.md	agents-archive	structural-review	Inventoried as archival working material; not treated as canonical over live code or /docs.
agents/audits/2026-03-12-methodology-page-audit.md	agents-archive	structural-review	Inventoried as archival working material; not treated as canonical over live code or /docs.
agents/audits/2026-03-12-stablecoin-detail-usdc-audit.md	agents-archive	structural-review	Inventoried as archival working material; not treated as canonical over live code or /docs.
agents/audits/2026-03-13-doc-corpus-audit-pass-2.md	agents-archive	structural-review	Inventoried as archival working material; not treated as canonical over live code or /docs.
agents/audits/2026-03-13-doc-corpus-audit.md	agents-archive	structural-review	Inventoried as archival working material; not treated as canonical over live code or /docs.
agents/audits/2026-03-13-documentation-health-report.md	agents-archive	structural-review	Inventoried as archival working material; not treated as canonical over live code or /docs.
agents/audits/cron-infrastructure-audit-2026-03-09.md	agents-archive	structural-review	Inventoried as archival working material; not treated as canonical over live code or /docs.
agents/audits/documentation-audit-2026-03-09.md	agents-archive	structural-review	Inventoried as archival working material; not treated as canonical over live code or /docs.
agents/audits/documentation-audit-2026-03-10.md	agents-archive	structural-review	Inventoried as archival working material; not treated as canonical over live code or /docs.
agents/audits/flows-end-to-end-audit-2026-03-10.md	agents-archive	structural-review	Inventoried as archival working material; not treated as canonical over live code or /docs.
agents/audits/simplification-audit.md	agents-archive	structural-review	Inventoried as archival working material; not treated as canonical over live code or /docs.
agents/plans/2026-03-13-comprehensive-codebase-audit.md	agents-archive	structural-review	Inventoried as archival working material; not treated as canonical over live code or /docs.
agents/plans/2026-03-13-status-page-audit.md	agents-archive	structural-review	Inventoried as archival working material; not treated as canonical over live code or /docs.
agents/plans/2026-03-13-status-page-remediation-spec.md	agents-archive	structural-review	Inventoried as archival working material; not treated as canonical over live code or /docs.
agents/plans/2026-03-13-structural-simplification-remediation-plan.md	agents-archive	structural-review	Inventoried as archival working material; not treated as canonical over live code or /docs.
agents/plans/2026-03-13-yield-remediation-plan.md	agents-archive	structural-review	Inventoried as archival working material; not treated as canonical over live code or /docs.
agents/plans/historical/2026-03-07-design-audit-fixes.md	agents-archive	structural-review	Inventoried as archival working material; not treated as canonical over live code or /docs.
agents/plans/historical/2026-03-07-market-signals-strip-design.md	agents-archive	structural-review	Inventoried as archival working material; not treated as canonical over live code or /docs.
agents/plans/historical/2026-03-07-market-signals-strip.md	agents-archive	structural-review	Inventoried as archival working material; not treated as canonical over live code or /docs.
agents/plans/historical/2026-03-07-mint-burn-two-signal-redesign.md	agents-archive	structural-review	Inventoried as archival working material; not treated as canonical over live code or /docs.
agents/plans/historical/2026-03-07-report-card-dimension-scorer-tests.md	agents-archive	structural-review	Inventoried as archival working material; not treated as canonical over live code or /docs.
agents/plans/historical/2026-03-07-test-suite-cleanup.md	agents-archive	structural-review	Inventoried as archival working material; not treated as canonical over live code or /docs.
