path	format	description	status	note
docs/documentation-map-2026-03-05.tsv	tsv	Legacy-named documentation surface map	current	Filename retained from the 2026-03-05 docs reorganization; this file is a high-level map, not an exhaustive inventory, and is refreshed during later audit passes.
README.md	md	Repo overview and top-level entry point	current	Canonical repo-adjacent doc outside `/docs/`; covers setup, architecture summary, and deploy overview.
docs/README.md	md	Documentation index	current	Canonical index into the `/docs/` corpus.
docs/	dir	Canonical product and system docs	current	Active Pharos documentation corpus.
docs/homepage.md	md	Homepage route contract	current	Documents `/` dashboard composition, URL filter contract, and Start Here onboarding callout behavior.
docs/start-page.md	md	Start Here route contract	current	Documents `/start/` onboarding route structure, curated route atlas, and homepage callout retirement handshake.
docs/telegram-alerts.md	md	Telegram alert subscriptions and dispatch	current	Dedicated doc for webhook commands, D1 tables, snapshot diffing, and bot operations.
worker/migrations/MANIFEST.md	md	D1 migration manifest	current	Repo-adjacent operational reference for checked-in migration history and known duplicate-prefix anomalies.
shared/data/stablecoins/PROVENANCE_NOTES.md	md	Stablecoin registry provenance notes	current	Archival provenance reference; preserved comments still use historical pre-JSON file names and line anchors.
agents/process/	dir	Operator runbooks	current	Runbooks remain outside `docs/`.
agents/audits/	dir	Audit reports and forensic writeups	current	Audit artifacts live here instead of `docs/`.
agents/plans/historical/	dir	Historical plans and design records	current	Non-canonical planning/history archive.
agents/tasks/	dir	Task trackers and execution boards	current	Execution trackers remain outside `docs/`.
